日期,價格
2026-06-24,73.64
2026-06-23,73.59
2026-06-22,73.63
2026-06-18,73.67
2026-06-17,73.64
2026-06-16,73.76
2026-06-15,73.78
2026-06-12,73.61
2026-06-11,73.54
2026-06-10,73.35
2026-06-09,73.38
2026-06-08,73.35
2026-06-05,73.34
2026-06-04,73.5
2026-06-03,73.44
2026-06-02,73.55
2026-05-29,74.07
2026-05-28,73.99
2026-05-27,74.15
2026-05-26,73.8
2026-05-22,73.65
2026-05-21,73.58
2026-05-20,73.55
2026-05-19,73.32
2026-05-18,73.43
2026-05-15,73.5
2026-05-14,73.68
2026-05-13,73.62
2026-05-12,73.59
2026-05-11,73.72
2026-05-08,73.74
2026-05-07,73.73
2026-05-06,73.81
2026-05-05,73.62
2026-04-30,74.18
2026-04-29,74.09
2026-04-28,74.21
2026-04-27,74.27
2026-04-24,74.26
2026-04-23,74.22
2026-04-22,74.28
2026-04-21,74.27
2026-04-20,74.34
2026-04-17,74.4
2026-04-16,74.17
2026-04-15,74.17
2026-04-14,74.15
2026-04-13,73.93
2026-04-10,73.95
2026-04-09,73.95
2026-04-08,73.88
2026-04-02,73.31
2026-04-01,73.39
2026-03-31,73.6
2026-03-30,73.19
2026-03-27,73.16
2026-03-26,73.43
2026-03-25,73.72
2026-03-24,73.52
2026-03-23,73.57
2026-03-20,73.46
2026-03-19,73.66
2026-03-18,73.88
2026-03-16,73.78
